code,year_,freq,ITEM5601,ITEM6008,ITEM8001,ITEM9304
20924,2016,A,PPC,ZAE000170049,4265981983.7,1.40885
20929,2016,A,ABG,ZAE000255915,142825619920,1.53482
20934,2016,A,MTN,ZAE000042164,226756272531,2.21485
20948,2016,A,BRT,ZAE000015277,499914044.7,1.28424
20950,2016,A,BRT,ZAE000015277,3117025816,1.28424
20961,2016,A,MDC,ZAE000074142,,
20972,2016,A,TRU,ZAE000028296,35123130000,4.07225
21022,2016,A,CAT,ZAE000043345,5420352802.9,0.98147
21107,2016,A,SAH,ZAE000102034,,
21120,2016,A,ATI,ZAE000305959,,
21132,2016,A,SEB,ZAE000260493,1128326610,1.63328
21135,2016,A,PGR,ZAE000078127,5564940500,1.72409
21149,2016,A,AME,ZAE000055802,642486000,2.96685
21200,2016,A,ADI,ZAE000113163,1739567729.9,3.72754
21214,2016,A,SNV,ZAE000159711,652739601.65,1.71694
21254,2016,A,AEE,ZAE000195731,1449451477.8,1.58159
21332,2016,A,MUR,ZAE000073441,4751482229.9,0.65985
21333,2016,A,NPK,ZAE000071676,12439350325,1.35174
21342,2016,A,SOL,ZAE000006896,259839766931,1.25528
21390,2016,A,SLM,ZAE000070660,125881770000,2.35778
21392,2016,A,LAB,ZAE000018354,353269338.12,53.32303
21395,2016,A,SPG,ZAE000161832,13641484883,1.79161
21399,2016,A,AXL,ZAE000221370,,
21409,2016,A,HCI,ZAE000003257,11662178160,0.70511
21430,2016,A,CULP,ZAE000001947,592128304.9,1.21759
21448,2016,A,NWL,ZAE000005070,595529032,0.6532
21515,2016,A,RCL,ZAE000179438,12004750790,1.20087
21546,2016,A,ARI,ZAE000054045,17425454948,0.73158
21548,2016,A,ARI,ZAE000054045,17425454948,0.73158
21594,2016,A,,,,
21624,2016,A,MTB,ES0116494016,49500088.933,0.4817
21682,2016,A,AMP,ES0109260531,178522775.22,-26.3061
21686,2016,A,ALB,ES0117160111,2497335864.1,0.68981
21775,2016,A,CFG,ES0121501318,,
21863,2016,A,,,,
21877,2016,A,CMC,ES0182170003,103324147.1,69.87179
21895,2016,A,ABG,ES0105200416,375393537.49,-0.05118
21896,2016,A,GCO,ES0116920333,3669750003.9,1.97479
21942,2016,A,,,,
21985,2016,A,,,,
22030,2016,A,,,,
22060,2016,A,,,,
22068,2016,A,,,,
22073,2016,A,,,,
22080,2016,A,,,,
22083,2016,A,,,,
22086,2016,A,,,,
22095,2016,A,,,,
22112,2016,A,,,,
22122,2016,A,,,,
22137,2016,A,,SE0000369829,,
22155,2016,A,,,,
22175,2016,A,,,,
22180,2016,A,,,,
22183,2016,A,,,,
22189,2016,A,,,,
22198,2016,A,,,,
22219,2016,A,,,,
22224,2016,A,,,,
22233,2016,A,,,,
22236,2016,A,,SE0000567745,,
22252,2016,A,,,,
22254,2016,A,ACR,NO0010840515,3416151721.2,1.9521
22279,2016,A,,,,
22280,2016,A,,SE0000143513,,
22287,2016,A,,SE0000101370,,
22322,2016,A,,,,
22338,2016,A,,SE0000163578,,
22353,2016,A,,,,
22382,2016,A,,,,
22389,2016,A,,,,
22415,2016,A,,,,
22433,2016,A,,,,
22439,2016,A,,,,
22447,2016,A,,,,
22461,2016,A,,,,
22531,2016,A,,,,
22564,2016,A,,,,
22568,2016,A,,,,
22675,2016,A,,,,
22682,2016,A,,,,
22691,2016,A,,,,
22703,2016,A,,,,
22712,2016,A,,SE0000119281,,
22720,2016,A,,,,
22727,2016,A,,,,
22743,2016,A,,,,
22750,2016,A,,,,
22753,2016,A,,,,
22759,2016,A,,,,
